date,location,year,month,week,yday,date_numeric,post_flood,days_since_flood,uv
2009-11-17,Raw,2009,11,47,321,14565,0,0,0.084
2009-11-18,Finished,2009,11,47,322,14566,0,0,0.029
2009-11-18,Raw,2009,11,47,322,14566,0,0,0.093
2009-11-20,Finished,2009,11,47,324,14568,0,0,0.035
2009-11-20,Raw,2009,11,47,324,14568,0,0,0.097
2009-11-21,Finished,2009,11,47,325,14569,0,0,0.039
2009-11-21,Raw,2009,11,47,325,14569,0,0,0.094
2009-11-22,Finished,2009,11,47,326,14570,0,0,0.026
2009-11-22,Raw,2009,11,47,326,14570,0,0,0.088
2009-11-23,Finished,2009,11,48,327,14571,0,0,0.033
2009-11-23,Raw,2009,11,48,327,14571,0,0,0.096
2009-11-24,Finished,2009,11,48,328,14572,0,0,0.029
2009-11-24,Raw,2009,11,48,328,14572,0,0,0.088
2009-11-25,Finished,2009,11,48,329,14573,0,0,0.032
2009-11-25,Raw,2009,11,48,329,14573,0,0,0.093
2009-11-26,Finished,2009,11,48,330,14574,0,0,0.029
2009-11-26,Raw,2009,11,48,330,14574,0,0,0.092
2009-11-27,Finished,2009,11,48,331,14575,0,0,0.028
2009-11-27,Raw,2009,11,48,331,14575,0,0,0.085
2009-11-28,Finished,2009,11,48,332,14576,0,0,0.024
2009-11-28,Raw,2009,11,48,332,14576,0,0,0.083
2009-11-29,Finished,2009,11,48,333,14577,0,0,0.028
2009-11-29,Raw,2009,11,48,333,14577,0,0,0.087
2009-11-30,Finished,2009,11,49,334,14578,0,0,0.031
2009-11-30,Raw,2009,11,49,334,14578,0,0,0.091
2009-12-01,Finished,2009,12,49,335,14579,0,0,0.03
2009-12-01,Raw,2009,12,49,335,14579,0,0,0.09
2009-12-03,Finished,2009,12,49,337,14581,0,0,0.03
2009-12-03,Raw,2009,12,49,337,14581,0,0,0.089
2009-12-04,Finished,2009,12,49,338,14582,0,0,0.031
2009-12-04,Raw,2009,12,49,338,14582,0,0,0.099
2009-12-05,Finished,2009,12,49,339,14583,0,0,0.032
2009-12-05,Raw,2009,12,49,339,14583,0,0,0.09
2009-12-06,Finished,2009,12,49,340,14584,0,0,0.031
2009-12-06,Raw,2009,12,49,340,14584,0,0,0.092
2009-12-07,Finished,2009,12,50,341,14585,0,0,0.033
2009-12-07,Raw,2009,12,50,341,14585,0,0,0.095
2009-12-08,Finished,2009,12,50,342,14586,0,0,0.033
2009-12-08,Raw,2009,12,50,342,14586,0,0,0.096
2009-12-09,Finished,2009,12,50,343,14587,0,0,0.037
2009-12-09,Raw,2009,12,50,343,14587,0,0,0.1
2009-12-10,Finished,2009,12,50,344,14588,0,0,0.037
2009-12-10,Raw,2009,12,50,344,14588,0,0,0.1
2009-12-11,Finished,2009,12,50,345,14589,0,0,0.033
2009-12-11,Raw,2009,12,50,345,14589,0,0,0.103
2009-12-12,Finished,2009,12,50,346,14590,0,0,0.034
2009-12-12,Raw,2009,12,50,346,14590,0,0,0.099
2009-12-13,Finished,2009,12,50,347,14591,0,0,0.033
2009-12-13,Raw,2009,12,50,347,14591,0,0,0.1
2009-12-16,Finished,2009,12,51,350,14594,0,0,0.037
2009-12-16,Raw,2009,12,51,350,14594,0,0,0.103
2009-12-17,Finished,2009,12,51,351,14595,0,0,0.034
2009-12-17,Raw,2009,12,51,351,14595,0,0,0.104
2009-12-18,Finished,2009,12,51,352,14596,0,0,0.039
2009-12-18,Raw,2009,12,51,352,14596,0,0,0.101
2009-12-19,Finished,2009,12,51,353,14597,0,0,0.042
2009-12-19,Raw,2009,12,51,353,14597,0,0,0.105
2009-12-20,Finished,2009,12,51,354,14598,0,0,0.036
2009-12-20,Raw,2009,12,51,354,14598,0,0,0.097
2009-12-21,Finished,2009,12,52,355,14599,0,0,0.027
2009-12-21,Raw,2009,12,52,355,14599,0,0,0.101
2009-12-22,Finished,2009,12,52,356,14600,0,0,0.027
2009-12-22,Raw,2009,12,52,356,14600,0,0,0.095
2009-12-23,Finished,2009,12,52,357,14601,0,0,0.031
2009-12-23,Raw,2009,12,52,357,14601,0,0,0.1
2009-12-25,Finished,2009,12,52,359,14603,0,0,0.03
2009-12-25,Raw,2009,12,52,359,14603,0,0,0.096
2009-12-26,Finished,2009,12,52,360,14604,0,0,0.029
2009-12-26,Raw,2009,12,52,360,14604,0,0,0.098
2009-12-27,Finished,2009,12,52,361,14605,0,0,0.029
2009-12-27,Raw,2009,12,52,361,14605,0,0,0.095
2009-12-28,Finished,2009,12,53,362,14606,0,0,0.036
2009-12-28,Raw,2009,12,53,362,14606,0,0,0.102
2009-12-29,Finished,2009,12,53,363,14607,0,0,0.038
2009-12-29,Raw,2009,12,53,363,14607,0,0,0.101
2009-12-30,Finished,2009,12,53,364,14608,0,0,0.03
2009-12-30,Raw,2009,12,53,364,14608,0,0,0.1
2009-12-31,Finished,2009,12,53,365,14609,0,0,0.029
2009-12-31,Raw,2009,12,53,365,14609,0,0,0.096
2010-01-01,Finished,2010,1,53,1,14610,0,0,0.03
2010-01-01,Raw,2010,1,53,1,14610,0,0,0.098
2010-01-02,Finished,2010,1,53,2,14611,0,0,0.026
2010-01-02,Raw,2010,1,53,2,14611,0,0,0.097
2010-01-03,Finished,2010,1,53,3,14612,0,0,0.029
2010-01-03,Raw,2010,1,53,3,14612,0,0,0.096
2010-01-04,Finished,2010,1,1,4,14613,0,0,0.03
2010-01-04,Raw,2010,1,1,4,14613,0,0,0.098
2010-01-05,Finished,2010,1,1,5,14614,0,0,0.031
2010-01-05,Raw,2010,1,1,5,14614,0,0,0.105
2010-01-06,Finished,2010,1,1,6,14615,0,0,0.032
2010-01-06,Raw,2010,1,1,6,14615,0,0,0.097
2010-01-07,Finished,2010,1,1,7,14616,0,0,0.039
2010-01-07,Raw,2010,1,1,7,14616,0,0,0.105
2010-01-08,Finished,2010,1,1,8,14617,0,0,0.029
2010-01-08,Raw,2010,1,1,8,14617,0,0,0.096
2010-01-09,Finished,2010,1,1,9,14618,0,0,0.033
2010-01-09,Raw,2010,1,1,9,14618,0,0,0.099
2010-01-10,Finished,2010,1,1,10,14619,0,0,0.03
2010-01-10,Raw,2010,1,1,10,14619,0,0,0.099
2010-01-11,Finished,2010,1,2,11,14620,0,0,0.021
2010-01-11,Raw,2010,1,2,11,14620,0,0,0.086
2010-01-12,Finished,2010,1,2,12,14621,0,0,0.024
2010-01-12,Raw,2010,1,2,12,14621,0,0,0.09
2010-01-13,Finished,2010,1,2,13,14622,0,0,0.032
2010-01-13,Raw,2010,1,2,13,14622,0,0,0.101
2010-01-14,Finished,2010,1,2,14,14623,0,0,0.037
2010-01-14,Raw,2010,1,2,14,14623,0,0,0.101
2010-01-15,Finished,2010,1,2,15,14624,0,0,0.031
2010-01-15,Raw,2010,1,2,15,14624,0,0,0.103
2010-01-16,Finished,2010,1,2,16,14625,0,0,0.038
2010-01-16,Raw,2010,1,2,16,14625,0,0,0.111
2010-01-17,Finished,2010,1,2,17,14626,0,0,0.035
2010-01-17,Raw,2010,1,2,17,14626,0,0,0.099
2010-01-18,Finished,2010,1,3,18,14627,0,0,0.03
2010-01-18,Raw,2010,1,3,18,14627,0,0,0.093
2010-01-19,Finished,2010,1,3,19,14628,0,0,0.024
2010-01-19,Raw,2010,1,3,19,14628,0,0,0.098
2010-01-20,Finished,2010,1,3,20,14629,0,0,0.032
2010-01-20,Raw,2010,1,3,20,14629,0,0,0.104
2010-01-21,Finished,2010,1,3,21,14630,0,0,0.034
2010-01-21,Raw,2010,1,3,21,14630,0,0,0.099
2010-01-22,Finished,2010,1,3,22,14631,0,0,0.033
2010-01-22,Raw,2010,1,3,22,14631,0,0,0.093
2010-01-23,Finished,2010,1,3,23,14632,0,0,0.031
2010-01-23,Raw,2010,1,3,23,14632,0,0,0.095
2010-01-24,Finished,2010,1,3,24,14633,0,0,0.029
2010-01-24,Raw,2010,1,3,24,14633,0,0,0.094
2010-01-25,Finished,2010,1,4,25,14634,0,0,0.04
2010-01-25,Raw,2010,1,4,25,14634,0,0,0.101
2010-01-26,Finished,2010,1,4,26,14635,0,0,0.033
2010-01-26,Raw,2010,1,4,26,14635,0,0,0.099
2010-01-27,Finished,2010,1,4,27,14636,0,0,0.033
2010-01-27,Raw,2010,1,4,27,14636,0,0,0.098
2010-01-28,Finished,2010,1,4,28,14637,0,0,0.035
2010-01-28,Raw,2010,1,4,28,14637,0,0,0.099
2010-01-29,Finished,2010,1,4,29,14638,0,0,0.034
2010-01-29,Raw,2010,1,4,29,14638,0,0,0.098
2010-01-31,Finished,2010,1,4,31,14640,0,0,0.03
2010-01-31,Raw,2010,1,4,31,14640,0,0,0.099
2010-02-01,Finished,2010,2,5,32,14641,0,0,0.028
2010-02-01,Raw,2010,2,5,32,14641,0,0,0.1
2010-02-02,Finished,2010,2,5,33,14642,0,0,0.029
2010-02-02,Raw,2010,2,5,33,14642,0,0,0.099
2010-02-03,Finished,2010,2,5,34,14643,0,0,0.036
2010-02-03,Raw,2010,2,5,34,14643,0,0,0.106
2010-02-04,Finished,2010,2,5,35,14644,0,0,0.033
2010-02-04,Raw,2010,2,5,35,14644,0,0,0.102
2010-02-05,Finished,2010,2,5,36,14645,0,0,0.036
2010-02-05,Raw,2010,2,5,36,14645,0,0,0.108
2010-02-06,Finished,2010,2,5,37,14646,0,0,0.032
2010-02-06,Raw,2010,2,5,37,14646,0,0,0.101
2010-02-07,Finished,2010,2,5,38,14647,0,0,0.033
2010-02-07,Raw,2010,2,5,38,14647,0,0,0.103
2010-02-08,Finished,2010,2,6,39,14648,0,0,0.032
2010-02-08,Raw,2010,2,6,39,14648,0,0,0.102
2010-02-09,Finished,2010,2,6,40,14649,0,0,0.04
2010-02-09,Raw,2010,2,6,40,14649,0,0,0.1
2010-02-10,Finished,2010,2,6,41,14650,0,0,0.041
2010-02-10,Raw,2010,2,6,41,14650,0,0,0.105
2010-02-11,Finished,2010,2,6,42,14651,0,0,0.032
2010-02-11,Raw,2010,2,6,42,14651,0,0,0.109
2010-02-12,Finished,2010,2,6,43,14652,0,0,0.026
2010-02-12,Raw,2010,2,6,43,14652,0,0,0.093
2010-02-15,Finished,2010,2,7,46,14655,0,0,0.029
2010-02-15,Raw,2010,2,7,46,14655,0,0,0.093
2010-02-16,Finished,2010,2,7,47,14656,0,0,0.029
2010-02-16,Raw,2010,2,7,47,14656,0,0,0.097
2010-02-17,Finished,2010,2,7,48,14657,0,0,0.035
2010-02-17,Raw,2010,2,7,48,14657,0,0,0.104
2010-02-18,Finished,2010,2,7,49,14658,0,0,0.027
2010-02-18,Raw,2010,2,7,49,14658,0,0,0.098
2010-02-19,Finished,2010,2,7,50,14659,0,0,0.031
2010-02-19,Raw,2010,2,7,50,14659,0,0,0.099
2010-02-20,Finished,2010,2,7,51,14660,0,0,0.03
2010-02-20,Raw,2010,2,7,51,14660,0,0,0.097
2010-02-21,Finished,2010,2,7,52,14661,0,0,0.03
2010-02-21,Raw,2010,2,7,52,14661,0,0,0.098
2010-02-22,Finished,2010,2,8,53,14662,0,0,0.039
2010-02-22,Raw,2010,2,8,53,14662,0,0,0.107
2010-02-23,Finished,2010,2,8,54,14663,0,0,0.04
2010-02-23,Raw,2010,2,8,54,14663,0,0,0.107
2010-02-24,Finished,2010,2,8,55,14664,0,0,0.029
2010-02-24,Raw,2010,2,8,55,14664,0,0,0.1
2010-02-25,Finished,2010,2,8,56,14665,0,0,0.037
2010-02-25,Raw,2010,2,8,56,14665,0,0,0.109
2010-02-27,Finished,2010,2,8,58,14667,0,0,0.035
2010-02-27,Raw,2010,2,8,58,14667,0,0,0.105
2010-02-28,Finished,2010,2,8,59,14668,0,0,0.032
2010-02-28,Raw,2010,2,8,59,14668,0,0,0.104
2010-03-01,Finished,2010,3,9,60,14669,0,0,0.025
2010-03-01,Raw,2010,3,9,60,14669,0,0,0.097
2010-03-02,Finished,2010,3,9,61,14670,0,0,0.031
2010-03-02,Raw,2010,3,9,61,14670,0,0,0.099
2010-03-03,Finished,2010,3,9,62,14671,0,0,0.031
