term,edf,ref.df,statistic,p.value,model
s(date_numeric),4.632875382178929,4.632875382178929,4.386485581221169,0.0018433493040355686,Total Al
s(yday),6.863751719503434,8,9.108780746433899,0,Total Al
s(series),5.881923946792081,10,1.4312900579518562,0.00724319566743592,Total Al
s(date_numeric),2.4790939366849942,2.4790939366849942,2.070416945882617,0.12757991352262638,Total Cu
"s(date_numeric,series)",11.751889061190182,105,0.17435728878770068,0.02511047583209003,Total Cu
s(yday),6.844828070516689,8,15.664627740910419,0,Total Cu
s(series),2.1246048849536647,9,0.30848131121283967,0.0530282253666432,Total Cu
s(date_numeric),2.235281432172577,2.235281432172577,1.0349696943474216,0.5644019480620486,Total Fe
"s(date_numeric,series)",35.49308331553646,105,8.241992892705118,0.02954605593095161,Total Fe
s(yday),7.341029334468452,8,6.708561023603676,0,Total Fe
s(series),4.325717400128894,9,0.9255255693249619,0,Total Fe
s(date_numeric),4.72813646882211,4.72813646882211,4.235763371189097,6.559154979044468e-4,Total Mn
"s(date_numeric,series)",32.301543720534234,106,2.695294896090641,0.018692980228048217,Total Mn
s(yday),4.032459416698549,8,1.5756180904149115,1.7500386732871576e-5,Total Mn
s(series),4.633803286729098,10,0.8633037833146467,0,Total Mn
s(date_numeric),3.101317697516632,3.101317697516632,0.74625807391501775,0.5020908154312675,Total P
s(yday),5.9513418610854085,8,5.123803783834895,0,Total P
s(series),2.9032924683689085,9,0.631158687700149,0.043341082281612264,Total P
s(date_numeric),6.699420865929634,6.699420865929634,8.14256762396644,0,Total Pb
"s(date_numeric,series)",36.975347501483675,105,2.4152010841563016,0.015655900549279123,Total Pb
s(yday),4.706222986709985,8,1.810456082847246,2.138437018670558e-4,Total Pb
s(series),4.152539491074942,9,0.8566054931931731,0,Total Pb
