date,sample_type,year,month,week,yday,date_numeric,post_flood,days_since_flood,toc
2019-01-16,Finished,2019,1,3,16,17912,0,0,1.837
2019-01-23,Finished,2019,1,4,23,17919,0,0,1.928
2019-02-27,Finished,2019,2,9,58,17954,0,0,1.907
2019-04-24,Finished,2019,4,17,114,18010,0,0,2.203
2019-05-01,Finished,2019,5,18,121,18017,0,0,2.037
2019-05-15,Finished,2019,5,20,135,18031,0,0,1.913
2019-05-22,Finished,2019,5,21,142,18038,0,0,1.9245
2019-05-23,Finished,2019,5,21,143,18039,0,0,3
2019-05-29,Finished,2019,5,22,149,18045,0,0,2.6835
2019-06-05,Finished,2019,6,23,156,18052,0,0,1.786
2019-06-18,Finished,2019,6,25,169,18065,0,0,1.8095
2019-06-19,Finished,2019,6,25,170,18066,0,0,1.823
2019-07-02,Finished,2019,7,27,183,18079,0,0,2.288
2019-07-10,Finished,2019,7,28,191,18087,0,0,1.86
2019-08-07,Finished,2019,8,32,219,18115,0,0,2.095
2019-08-14,Finished,2019,8,33,226,18122,0,0,2.1185
2019-08-19,Finished,2019,8,34,231,18127,0,0,2.084
2019-09-11,Finished,2019,9,37,254,18150,0,0,1.781
2019-09-25,Finished,2019,9,39,268,18164,0,0,1.8345
2019-10-02,Finished,2019,10,40,275,18171,0,0,1.8
2019-10-23,Finished,2019,10,43,296,18192,0,0,1.664
2019-11-27,Finished,2019,11,48,331,18227,0,0,1.6675
2019-12-10,Finished,2019,12,50,344,18240,0,0,1.9
2020-01-02,Finished,2020,1,1,2,18263,0,0,1.8
2020-01-22,Finished,2020,1,4,22,18283,0,0,1.936
2020-01-29,Finished,2020,1,5,29,18290,0,0,1.9795
2020-02-04,Finished,2020,2,6,35,18296,0,0,2.1
2020-02-12,Finished,2020,2,7,43,18304,0,0,2.0385
2020-02-19,Finished,2020,2,8,50,18311,0,0,2.0495
2020-02-26,Finished,2020,2,9,57,18318,0,0,1.9455
2020-03-12,Finished,2020,3,11,72,18333,0,0,1.9
2020-05-07,Finished,2020,5,19,128,18389,0,0,1.9
2020-06-11,Finished,2020,6,24,163,18424,0,0,1.8
2020-08-26,Finished,2020,8,35,239,18500,0,0,1.9
2020-09-15,Finished,2020,9,38,259,18520,0,0,1.6
2020-10-14,Finished,2020,10,42,288,18549,0,0,1.7
2020-11-18,Finished,2020,11,47,323,18584,0,0,1.8
2020-12-08,Finished,2020,12,50,343,18604,0,0,1.9
2021-02-10,Finished,2021,2,6,41,18668,0,0,2
2021-03-03,Finished,2021,3,9,62,18689,0,0,1.8
2021-04-13,Finished,2021,4,15,103,18730,0,0,2.1
2021-05-06,Finished,2021,5,18,126,18753,0,0,1.9
2021-05-12,Finished,2021,5,19,132,18759,0,0,1.9
2021-06-29,Finished,2021,6,26,180,18807,0,0,1.9
2021-07-15,Finished,2021,7,28,196,18823,0,0,2
2021-08-12,Finished,2021,8,32,224,18851,0,0,1.8
2021-09-09,Finished,2021,9,36,252,18879,0,0,1.7
2021-10-07,Finished,2021,10,40,280,18907,0,0,1.5
2021-11-04,Finished,2021,11,44,308,18935,0,0,1.6
2021-12-16,Finished,2021,12,50,350,18977,0,0,2.2
2022-01-11,Finished,2022,1,2,11,19003,0,0,2.1
2022-02-22,Finished,2022,2,8,53,19045,0,0,2.2
2022-03-08,Finished,2022,3,10,67,19059,0,0,2.1
2022-04-19,Finished,2022,4,16,109,19101,0,0,2
2022-05-12,Finished,2022,5,19,132,19124,0,0,2
2022-05-17,Finished,2022,5,20,137,19129,0,0,1.9
2022-06-14,Finished,2022,6,24,165,19157,0,0,2
2022-07-12,Finished,2022,7,28,193,19185,0,0,2
