date,series,pipe,material,element,value,sample_type,age_group,body_weight_kg,water_intake_L_day,dose_ug_per_kg_day
2022-06-10,pl1_cu,cu,Cast Iron,Pb,283.1639682269291,Total,Adult,70,2,8.090399092197975
2022-06-10,pl1_cu,cu,Cast Iron,Pb,283.1639682269291,Total,Child,27,1.2,12.585065254530182
2022-06-10,pl1_cu,cu,Cast Iron,Pb,283.1639682269291,Total,Infant,7,0.8,32.3615963687919
2022-06-10,pl1_cu,cu,Cast Iron,Pb,283.1639682269291,Total,Pregnant Adult,65,1.8,7.841463735514961
2022-06-10,pl1_cu,cu,Cast Iron,Pb,283.1639682269291,Total,Teen,50,1.5,8.494919046807873
2022-06-10,pl1_cu,cu,Cast Iron,Pb,283.1639682269291,Total,Toddler,15,0.9,16.98983809361575
2022-06-10,pl1_cu,cu,Cast Iron,Pb,285.72788908867744,"Filtered, <0.45um",Adult,70,2,8.163653973962212
2022-06-10,pl1_cu,cu,Cast Iron,Pb,285.72788908867744,"Filtered, <0.45um",Child,27,1.2,12.699017292830108
2022-06-10,pl1_cu,cu,Cast Iron,Pb,285.72788908867744,"Filtered, <0.45um",Infant,7,0.8,32.654615895848856
2022-06-10,pl1_cu,cu,Cast Iron,Pb,285.72788908867744,"Filtered, <0.45um",Pregnant Adult,65,1.8,7.9124646209172225
2022-06-10,pl1_cu,cu,Cast Iron,Pb,285.72788908867744,"Filtered, <0.45um",Teen,50,1.5,8.571836672660323
2022-06-10,pl1_cu,cu,Cast Iron,Pb,285.72788908867744,"Filtered, <0.45um",Toddler,15,0.9,17.143673345320646
2022-06-10,pl1_pb,pb,Cast Iron,Pb,83.967821832925,Total,Adult,70,2,2.399080623797857
2022-06-10,pl1_pb,pb,Cast Iron,Pb,83.967821832925,Total,Child,27,1.2,3.7319031925744444
2022-06-10,pl1_pb,pb,Cast Iron,Pb,83.967821832925,Total,Infant,7,0.8,9.596322495191428
2022-06-10,pl1_pb,pb,Cast Iron,Pb,83.967821832925,Total,Pregnant Adult,65,1.8,2.3252627584502306
2022-06-10,pl1_pb,pb,Cast Iron,Pb,83.967821832925,Total,Teen,50,1.5,2.5190346549877503
2022-06-10,pl1_pb,pb,Cast Iron,Pb,83.967821832925,Total,Toddler,15,0.9,5.0380693099755
2022-06-10,pl1_pb,pb,Cast Iron,Pb,115.45828631743736,"Filtered, <0.45um",Adult,70,2,3.2988081804982103
2022-06-10,pl1_pb,pb,Cast Iron,Pb,115.45828631743736,"Filtered, <0.45um",Child,27,1.2,5.131479391886105
2022-06-10,pl1_pb,pb,Cast Iron,Pb,115.45828631743736,"Filtered, <0.45um",Infant,7,0.8,13.195232721992841
2022-06-10,pl1_pb,pb,Cast Iron,Pb,115.45828631743736,"Filtered, <0.45um",Pregnant Adult,65,1.8,3.1973063903290346
2022-06-10,pl1_pb,pb,Cast Iron,Pb,115.45828631743736,"Filtered, <0.45um",Teen,50,1.5,3.463748589523121
2022-06-10,pl1_pb,pb,Cast Iron,Pb,115.45828631743736,"Filtered, <0.45um",Toddler,15,0.9,6.927497179046242
2022-06-10,pl2_cu,cu,PVC,Pb,7.180865555160634,"Filtered, <0.45um",Adult,70,2,0.20516758729030382
2022-06-10,pl2_cu,cu,PVC,Pb,7.180865555160634,"Filtered, <0.45um",Child,27,1.2,0.3191495802293615
2022-06-10,pl2_cu,cu,PVC,Pb,7.180865555160634,"Filtered, <0.45um",Infant,7,0.8,0.8206703491612153
2022-06-10,pl2_cu,cu,PVC,Pb,7.180865555160634,"Filtered, <0.45um",Pregnant Adult,65,1.8,0.19885473845060217
2022-06-10,pl2_cu,cu,PVC,Pb,7.180865555160634,"Filtered, <0.45um",Teen,50,1.5,0.21542596665481903
2022-06-10,pl2_cu,cu,PVC,Pb,7.180865555160634,"Filtered, <0.45um",Toddler,15,0.9,0.43085193330963806
2022-06-10,pl2_cu,cu,PVC,Pb,7.190577945329672,Total,Adult,70,2,0.20544508415227633
2022-06-10,pl2_cu,cu,PVC,Pb,7.190577945329672,Total,Child,27,1.2,0.31958124201465204
2022-06-10,pl2_cu,cu,PVC,Pb,7.190577945329672,Total,Infant,7,0.8,0.8217803366091054
2022-06-10,pl2_cu,cu,PVC,Pb,7.190577945329672,Total,Pregnant Adult,65,1.8,0.1991236969475909
