age_group,period_flood,pb_level,f_sys,BLL0,threshold_ug_dl,dBLL,exceed
Adult_18plus,Disturbance,C_low,0.25,0.5,3.5,0.8376464013627509,0
Adult_18plus,Disturbance,C_low,0.25,0.5,5,0.8376464013627509,0
Adult_18plus,Disturbance,C_low,0.25,1,3.5,0.8376464013627509,0
Adult_18plus,Disturbance,C_low,0.25,1,5,0.8376464013627509,0
Adult_18plus,Disturbance,C_low,0.25,2,3.5,0.8376464013627509,0
Adult_18plus,Disturbance,C_low,0.25,2,5,0.8376464013627509,0
Adult_18plus,Disturbance,C_low,0.5,0.5,3.5,1.6752928027255019,0
Adult_18plus,Disturbance,C_low,0.5,0.5,5,1.6752928027255019,0
Adult_18plus,Disturbance,C_low,0.5,1,3.5,1.6752928027255019,0
Adult_18plus,Disturbance,C_low,0.5,1,5,1.6752928027255019,0
Adult_18plus,Disturbance,C_low,0.5,2,3.5,1.6752928027255019,1
Adult_18plus,Disturbance,C_low,0.5,2,5,1.6752928027255019,0
Adult_18plus,Disturbance,C_low,0.75,0.5,3.5,2.5129392040882523,0
Adult_18plus,Disturbance,C_low,0.75,0.5,5,2.5129392040882523,0
Adult_18plus,Disturbance,C_low,0.75,1,3.5,2.5129392040882523,1
Adult_18plus,Disturbance,C_low,0.75,1,5,2.5129392040882523,0
Adult_18plus,Disturbance,C_low,0.75,2,3.5,2.5129392040882523,1
Adult_18plus,Disturbance,C_low,0.75,2,5,2.5129392040882523,0
Adult_18plus,Disturbance,C_low,1,0.5,3.5,3.3505856054510033,1
Adult_18plus,Disturbance,C_low,1,0.5,5,3.3505856054510033,0
Adult_18plus,Disturbance,C_low,1,1,3.5,3.3505856054510037,1
Adult_18plus,Disturbance,C_low,1,1,5,3.3505856054510037,0
Adult_18plus,Disturbance,C_low,1,2,3.5,3.3505856054510037,1
Adult_18plus,Disturbance,C_low,1,2,5,3.3505856054510037,1
Adult_18plus,Disturbance,C_med,0.25,0.5,3.5,1.4763279270431198,0
Adult_18plus,Disturbance,C_med,0.25,0.5,5,1.4763279270431198,0
Adult_18plus,Disturbance,C_med,0.25,1,3.5,1.47632792704312,0
Adult_18plus,Disturbance,C_med,0.25,1,5,1.47632792704312,0
Adult_18plus,Disturbance,C_med,0.25,2,3.5,1.47632792704312,0
Adult_18plus,Disturbance,C_med,0.25,2,5,1.47632792704312,0
Adult_18plus,Disturbance,C_med,0.5,0.5,3.5,2.9526558540862395,0
Adult_18plus,Disturbance,C_med,0.5,0.5,5,2.9526558540862395,0
Adult_18plus,Disturbance,C_med,0.5,1,3.5,2.9526558540862395,1
Adult_18plus,Disturbance,C_med,0.5,1,5,2.9526558540862395,0
Adult_18plus,Disturbance,C_med,0.5,2,3.5,2.95265585408624,1
Adult_18plus,Disturbance,C_med,0.5,2,5,2.95265585408624,0
Adult_18plus,Disturbance,C_med,0.75,0.5,3.5,4.428983781129359,1
Adult_18plus,Disturbance,C_med,0.75,0.5,5,4.428983781129359,0
Adult_18plus,Disturbance,C_med,0.75,1,3.5,4.428983781129359,1
Adult_18plus,Disturbance,C_med,0.75,1,5,4.428983781129359,1
Adult_18plus,Disturbance,C_med,0.75,2,3.5,4.428983781129359,1
Adult_18plus,Disturbance,C_med,0.75,2,5,4.428983781129359,1
Adult_18plus,Disturbance,C_med,1,0.5,3.5,5.905311708172479,1
Adult_18plus,Disturbance,C_med,1,0.5,5,5.905311708172479,1
Adult_18plus,Disturbance,C_med,1,1,3.5,5.905311708172479,1
Adult_18plus,Disturbance,C_med,1,1,5,5.905311708172479,1
Adult_18plus,Disturbance,C_med,1,2,3.5,5.905311708172479,1
Adult_18plus,Disturbance,C_med,1,2,5,5.905311708172479,1
Adult_18plus,Disturbance,C_high,0.25,0.5,3.5,2.792460141756476,0
Adult_18plus,Disturbance,C_high,0.25,0.5,5,2.792460141756476,0
Adult_18plus,Disturbance,C_high,0.25,1,3.5,2.792460141756476,1
Adult_18plus,Disturbance,C_high,0.25,1,5,2.792460141756476,0
Adult_18plus,Disturbance,C_high,0.25,2,3.5,2.792460141756476,1
Adult_18plus,Disturbance,C_high,0.25,2,5,2.792460141756476,0
Adult_18plus,Disturbance,C_high,0.5,0.5,3.5,5.584920283512952,1
Adult_18plus,Disturbance,C_high,0.5,0.5,5,5.584920283512952,1
Adult_18plus,Disturbance,C_high,0.5,1,3.5,5.584920283512952,1
Adult_18plus,Disturbance,C_high,0.5,1,5,5.584920283512952,1
Adult_18plus,Disturbance,C_high,0.5,2,3.5,5.584920283512952,1
Adult_18plus,Disturbance,C_high,0.5,2,5,5.584920283512952,1
Adult_18plus,Disturbance,C_high,0.75,0.5,3.5,8.377380425269427,1
Adult_18plus,Disturbance,C_high,0.75,0.5,5,8.377380425269427,1
Adult_18plus,Disturbance,C_high,0.75,1,3.5,8.377380425269427,1
Adult_18plus,Disturbance,C_high,0.75,1,5,8.377380425269427,1
Adult_18plus,Disturbance,C_high,0.75,2,3.5,8.377380425269427,1
Adult_18plus,Disturbance,C_high,0.75,2,5,8.377380425269427,1
Adult_18plus,Disturbance,C_high,1,0.5,3.5,11.169840567025904,1
Adult_18plus,Disturbance,C_high,1,0.5,5,11.169840567025904,1
Adult_18plus,Disturbance,C_high,1,1,3.5,11.169840567025904,1
Adult_18plus,Disturbance,C_high,1,1,5,11.169840567025904,1
Adult_18plus,Disturbance,C_high,1,2,3.5,11.169840567025904,1
Adult_18plus,Disturbance,C_high,1,2,5,11.169840567025904,1
Adult_18plus,Pre-flood,C_low,0.25,0.5,3.5,0.2532570830127807,0
Adult_18plus,Pre-flood,C_low,0.25,0.5,5,0.2532570830127807,0
Adult_18plus,Pre-flood,C_low,0.25,1,3.5,0.2532570830127807,0
Adult_18plus,Pre-flood,C_low,0.25,1,5,0.2532570830127807,0
Adult_18plus,Pre-flood,C_low,0.25,2,3.5,0.2532570830127807,0
Adult_18plus,Pre-flood,C_low,0.25,2,5,0.2532570830127807,0
Adult_18plus,Pre-flood,C_low,0.5,0.5,3.5,0.5065141660255614,0
Adult_18plus,Pre-flood,C_low,0.5,0.5,5,0.5065141660255614,0
Adult_18plus,Pre-flood,C_low,0.5,1,3.5,0.5065141660255614,0
Adult_18plus,Pre-flood,C_low,0.5,1,5,0.5065141660255614,0
Adult_18plus,Pre-flood,C_low,0.5,2,3.5,0.5065141660255614,0
Adult_18plus,Pre-flood,C_low,0.5,2,5,0.5065141660255614,0
Adult_18plus,Pre-flood,C_low,0.75,0.5,3.5,0.7597712490383421,0
Adult_18plus,Pre-flood,C_low,0.75,0.5,5,0.7597712490383421,0
Adult_18plus,Pre-flood,C_low,0.75,1,3.5,0.7597712490383421,0
Adult_18plus,Pre-flood,C_low,0.75,1,5,0.7597712490383421,0
Adult_18plus,Pre-flood,C_low,0.75,2,3.5,0.7597712490383421,0
Adult_18plus,Pre-flood,C_low,0.75,2,5,0.7597712490383421,0
Adult_18plus,Pre-flood,C_low,1,0.5,3.5,1.0130283320511226,0
Adult_18plus,Pre-flood,C_low,1,0.5,5,1.0130283320511226,0
Adult_18plus,Pre-flood,C_low,1,1,3.5,1.0130283320511229,0
Adult_18plus,Pre-flood,C_low,1,1,5,1.0130283320511229,0
Adult_18plus,Pre-flood,C_low,1,2,3.5,1.0130283320511229,0
Adult_18plus,Pre-flood,C_low,1,2,5,1.0130283320511229,0
Adult_18plus,Pre-flood,C_med,0.25,0.5,3.5,0.6175341702680863,0
Adult_18plus,Pre-flood,C_med,0.25,0.5,5,0.6175341702680863,0
Adult_18plus,Pre-flood,C_med,0.25,1,3.5,0.6175341702680863,0
Adult_18plus,Pre-flood,C_med,0.25,1,5,0.6175341702680863,0
Adult_18plus,Pre-flood,C_med,0.25,2,3.5,0.6175341702680863,0
Adult_18plus,Pre-flood,C_med,0.25,2,5,0.6175341702680863,0
Adult_18plus,Pre-flood,C_med,0.5,0.5,3.5,1.2350683405361724,0
Adult_18plus,Pre-flood,C_med,0.5,0.5,5,1.2350683405361724,0
Adult_18plus,Pre-flood,C_med,0.5,1,3.5,1.2350683405361726,0
Adult_18plus,Pre-flood,C_med,0.5,1,5,1.2350683405361726,0
Adult_18plus,Pre-flood,C_med,0.5,2,3.5,1.2350683405361726,0
Adult_18plus,Pre-flood,C_med,0.5,2,5,1.2350683405361726,0
Adult_18plus,Pre-flood,C_med,0.75,0.5,3.5,1.8526025108042585,0
Adult_18plus,Pre-flood,C_med,0.75,0.5,5,1.8526025108042585,0
Adult_18plus,Pre-flood,C_med,0.75,1,3.5,1.8526025108042585,0
Adult_18plus,Pre-flood,C_med,0.75,1,5,1.8526025108042585,0
Adult_18plus,Pre-flood,C_med,0.75,2,3.5,1.8526025108042585,1
Adult_18plus,Pre-flood,C_med,0.75,2,5,1.8526025108042585,0
Adult_18plus,Pre-flood,C_med,1,0.5,3.5,2.470136681072345,0
Adult_18plus,Pre-flood,C_med,1,0.5,5,2.470136681072345,0
Adult_18plus,Pre-flood,C_med,1,1,3.5,2.470136681072345,0
Adult_18plus,Pre-flood,C_med,1,1,5,2.470136681072345,0
Adult_18plus,Pre-flood,C_med,1,2,3.5,2.4701366810723453,1
Adult_18plus,Pre-flood,C_med,1,2,5,2.4701366810723453,0
Adult_18plus,Pre-flood,C_high,0.25,0.5,3.5,1.5621921045541542,0
Adult_18plus,Pre-flood,C_high,0.25,0.5,5,1.5621921045541542,0
Adult_18plus,Pre-flood,C_high,0.25,1,3.5,1.5621921045541542,0
Adult_18plus,Pre-flood,C_high,0.25,1,5,1.5621921045541542,0
Adult_18plus,Pre-flood,C_high,0.25,2,3.5,1.5621921045541542,1
Adult_18plus,Pre-flood,C_high,0.25,2,5,1.5621921045541542,0
Adult_18plus,Pre-flood,C_high,0.5,0.5,3.5,3.1243842091083085,1
Adult_18plus,Pre-flood,C_high,0.5,0.5,5,3.1243842091083085,0
Adult_18plus,Pre-flood,C_high,0.5,1,3.5,3.1243842091083085,1
Adult_18plus,Pre-flood,C_high,0.5,1,5,3.1243842091083085,0
Adult_18plus,Pre-flood,C_high,0.5,2,3.5,3.1243842091083085,1
Adult_18plus,Pre-flood,C_high,0.5,2,5,3.1243842091083085,1
Adult_18plus,Pre-flood,C_high,0.75,0.5,3.5,4.686576313662463,1
Adult_18plus,Pre-flood,C_high,0.75,0.5,5,4.686576313662463,1
Adult_18plus,Pre-flood,C_high,0.75,1,3.5,4.686576313662463,1
Adult_18plus,Pre-flood,C_high,0.75,1,5,4.686576313662463,1
Adult_18plus,Pre-flood,C_high,0.75,2,3.5,4.686576313662463,1
Adult_18plus,Pre-flood,C_high,0.75,2,5,4.686576313662463,1
Adult_18plus,Pre-flood,C_high,1,0.5,3.5,6.248768418216617,1
Adult_18plus,Pre-flood,C_high,1,0.5,5,6.248768418216617,1
Adult_18plus,Pre-flood,C_high,1,1,3.5,6.248768418216617,1
Adult_18plus,Pre-flood,C_high,1,1,5,6.248768418216617,1
Adult_18plus,Pre-flood,C_high,1,2,3.5,6.248768418216617,1
Adult_18plus,Pre-flood,C_high,1,2,5,6.248768418216617,1
Adult_18plus,Recovery,C_low,0.25,0.5,3.5,0.27577401151500225,0
Adult_18plus,Recovery,C_low,0.25,0.5,5,0.27577401151500225,0
Adult_18plus,Recovery,C_low,0.25,1,3.5,0.27577401151500225,0
Adult_18plus,Recovery,C_low,0.25,1,5,0.27577401151500225,0
Adult_18plus,Recovery,C_low,0.25,2,3.5,0.27577401151500247,0
Adult_18plus,Recovery,C_low,0.25,2,5,0.27577401151500247,0
Adult_18plus,Recovery,C_low,0.5,0.5,3.5,0.5515480230300045,0
Adult_18plus,Recovery,C_low,0.5,0.5,5,0.5515480230300045,0
Adult_18plus,Recovery,C_low,0.5,1,3.5,0.5515480230300045,0
Adult_18plus,Recovery,C_low,0.5,1,5,0.5515480230300045,0
Adult_18plus,Recovery,C_low,0.5,2,3.5,0.5515480230300045,0
Adult_18plus,Recovery,C_low,0.5,2,5,0.5515480230300045,0
Adult_18plus,Recovery,C_low,0.75,0.5,3.5,0.827322034545007,0
Adult_18plus,Recovery,C_low,0.75,0.5,5,0.827322034545007,0
Adult_18plus,Recovery,C_low,0.75,1,3.5,0.827322034545007,0
Adult_18plus,Recovery,C_low,0.75,1,5,0.827322034545007,0
Adult_18plus,Recovery,C_low,0.75,2,3.5,0.827322034545007,0
Adult_18plus,Recovery,C_low,0.75,2,5,0.827322034545007,0
Adult_18plus,Recovery,C_low,1,0.5,3.5,1.1030960460600092,0
Adult_18plus,Recovery,C_low,1,0.5,5,1.1030960460600092,0
Adult_18plus,Recovery,C_low,1,1,3.5,1.103096046060009,0
Adult_18plus,Recovery,C_low,1,1,5,1.103096046060009,0
Adult_18plus,Recovery,C_low,1,2,3.5,1.103096046060009,0
Adult_18plus,Recovery,C_low,1,2,5,1.103096046060009,0
Adult_18plus,Recovery,C_med,0.25,0.5,3.5,0.6369269081508051,0
Adult_18plus,Recovery,C_med,0.25,0.5,5,0.6369269081508051,0
Adult_18plus,Recovery,C_med,0.25,1,3.5,0.6369269081508051,0
Adult_18plus,Recovery,C_med,0.25,1,5,0.6369269081508051,0
Adult_18plus,Recovery,C_med,0.25,2,3.5,0.6369269081508051,0
Adult_18plus,Recovery,C_med,0.25,2,5,0.6369269081508051,0
Adult_18plus,Recovery,C_med,0.5,0.5,3.5,1.2738538163016102,0
Adult_18plus,Recovery,C_med,0.5,0.5,5,1.2738538163016102,0
Adult_18plus,Recovery,C_med,0.5,1,3.5,1.2738538163016102,0
Adult_18plus,Recovery,C_med,0.5,1,5,1.2738538163016102,0
Adult_18plus,Recovery,C_med,0.5,2,3.5,1.2738538163016102,0
Adult_18plus,Recovery,C_med,0.5,2,5,1.2738538163016102,0
Adult_18plus,Recovery,C_med,0.75,0.5,3.5,1.9107807244524153,0
Adult_18plus,Recovery,C_med,0.75,0.5,5,1.9107807244524153,0
Adult_18plus,Recovery,C_med,0.75,1,3.5,1.9107807244524153,0
Adult_18plus,Recovery,C_med,0.75,1,5,1.9107807244524153,0
Adult_18plus,Recovery,C_med,0.75,2,3.5,1.9107807244524153,1
Adult_18plus,Recovery,C_med,0.75,2,5,1.9107807244524153,0
Adult_18plus,Recovery,C_med,1,0.5,3.5,2.5477076326032204,0
Adult_18plus,Recovery,C_med,1,0.5,5,2.5477076326032204,0
Adult_18plus,Recovery,C_med,1,1,3.5,2.5477076326032204,1
Adult_18plus,Recovery,C_med,1,1,5,2.5477076326032204,0
Adult_18plus,Recovery,C_med,1,2,3.5,2.5477076326032204,1
Adult_18plus,Recovery,C_med,1,2,5,2.5477076326032204,0
Adult_18plus,Recovery,C_high,0.25,0.5,3.5,1.691920810870538,0
Adult_18plus,Recovery,C_high,0.25,0.5,5,1.691920810870538,0
Adult_18plus,Recovery,C_high,0.25,1,3.5,1.691920810870538,0
Adult_18plus,Recovery,C_high,0.25,1,5,1.691920810870538,0
Adult_18plus,Recovery,C_high,0.25,2,3.5,1.691920810870538,1
Adult_18plus,Recovery,C_high,0.25,2,5,1.691920810870538,0
Adult_18plus,Recovery,C_high,0.5,0.5,3.5,3.383841621741076,1
Adult_18plus,Recovery,C_high,0.5,0.5,5,3.383841621741076,0
Adult_18plus,Recovery,C_high,0.5,1,3.5,3.383841621741076,1
Adult_18plus,Recovery,C_high,0.5,1,5,3.383841621741076,0
Adult_18plus,Recovery,C_high,0.5,2,3.5,3.383841621741076,1
Adult_18plus,Recovery,C_high,0.5,2,5,3.383841621741076,1
Adult_18plus,Recovery,C_high,0.75,0.5,3.5,5.075762432611613,1
Adult_18plus,Recovery,C_high,0.75,0.5,5,5.075762432611613,1
Adult_18plus,Recovery,C_high,0.75,1,3.5,5.075762432611613,1
Adult_18plus,Recovery,C_high,0.75,1,5,5.075762432611613,1
Adult_18plus,Recovery,C_high,0.75,2,3.5,5.075762432611613,1
Adult_18plus,Recovery,C_high,0.75,2,5,5.075762432611613,1
Adult_18plus,Recovery,C_high,1,0.5,3.5,6.767683243482152,1
Adult_18plus,Recovery,C_high,1,0.5,5,6.767683243482152,1
Adult_18plus,Recovery,C_high,1,1,3.5,6.767683243482152,1
Adult_18plus,Recovery,C_high,1,1,5,6.767683243482152,1
Adult_18plus,Recovery,C_high,1,2,3.5,6.767683243482152,1
Adult_18plus,Recovery,C_high,1,2,5,6.767683243482152,1
Child_3_6y,Disturbance,C_low,0.25,0.5,3.5,2.72235080442894,0
Child_3_6y,Disturbance,C_low,0.25,0.5,5,2.72235080442894,0
Child_3_6y,Disturbance,C_low,0.25,1,3.5,2.72235080442894,1
Child_3_6y,Disturbance,C_low,0.25,1,5,2.72235080442894,0
Child_3_6y,Disturbance,C_low,0.25,2,3.5,2.72235080442894,1
Child_3_6y,Disturbance,C_low,0.25,2,5,2.72235080442894,0
Child_3_6y,Disturbance,C_low,0.5,0.5,3.5,5.44470160885788,1
Child_3_6y,Disturbance,C_low,0.5,0.5,5,5.44470160885788,1
Child_3_6y,Disturbance,C_low,0.5,1,3.5,5.44470160885788,1
Child_3_6y,Disturbance,C_low,0.5,1,5,5.44470160885788,1
Child_3_6y,Disturbance,C_low,0.5,2,3.5,5.44470160885788,1
Child_3_6y,Disturbance,C_low,0.5,2,5,5.44470160885788,1
Child_3_6y,Disturbance,C_low,0.75,0.5,3.5,8.16705241328682,1
Child_3_6y,Disturbance,C_low,0.75,0.5,5,8.16705241328682,1
Child_3_6y,Disturbance,C_low,0.75,1,3.5,8.16705241328682,1
Child_3_6y,Disturbance,C_low,0.75,1,5,8.16705241328682,1
Child_3_6y,Disturbance,C_low,0.75,2,3.5,8.16705241328682,1
Child_3_6y,Disturbance,C_low,0.75,2,5,8.16705241328682,1
Child_3_6y,Disturbance,C_low,1,0.5,3.5,10.88940321771576,1
Child_3_6y,Disturbance,C_low,1,0.5,5,10.88940321771576,1
Child_3_6y,Disturbance,C_low,1,1,3.5,10.88940321771576,1
Child_3_6y,Disturbance,C_low,1,1,5,10.88940321771576,1
Child_3_6y,Disturbance,C_low,1,2,3.5,10.88940321771576,1
Child_3_6y,Disturbance,C_low,1,2,5,10.88940321771576,1
Child_3_6y,Disturbance,C_med,0.25,0.5,3.5,4.798065762890139,1
Child_3_6y,Disturbance,C_med,0.25,0.5,5,4.798065762890139,1
Child_3_6y,Disturbance,C_med,0.25,1,3.5,4.798065762890139,1
Child_3_6y,Disturbance,C_med,0.25,1,5,4.798065762890139,1
Child_3_6y,Disturbance,C_med,0.25,2,3.5,4.798065762890139,1
Child_3_6y,Disturbance,C_med,0.25,2,5,4.798065762890139,1
Child_3_6y,Disturbance,C_med,0.5,0.5,3.5,9.596131525780278,1
Child_3_6y,Disturbance,C_med,0.5,0.5,5,9.596131525780278,1
Child_3_6y,Disturbance,C_med,0.5,1,3.5,9.596131525780278,1
Child_3_6y,Disturbance,C_med,0.5,1,5,9.596131525780278,1
Child_3_6y,Disturbance,C_med,0.5,2,3.5,9.596131525780278,1
Child_3_6y,Disturbance,C_med,0.5,2,5,9.596131525780278,1
Child_3_6y,Disturbance,C_med,0.75,0.5,3.5,14.394197288670416,1
Child_3_6y,Disturbance,C_med,0.75,0.5,5,14.394197288670416,1
Child_3_6y,Disturbance,C_med,0.75,1,3.5,14.394197288670416,1
Child_3_6y,Disturbance,C_med,0.75,1,5,14.394197288670416,1
Child_3_6y,Disturbance,C_med,0.75,2,3.5,14.394197288670416,1
Child_3_6y,Disturbance,C_med,0.75,2,5,14.394197288670416,1
Child_3_6y,Disturbance,C_med,1,0.5,3.5,19.192263051560555,1
Child_3_6y,Disturbance,C_med,1,0.5,5,19.192263051560555,1
Child_3_6y,Disturbance,C_med,1,1,3.5,19.192263051560555,1
Child_3_6y,Disturbance,C_med,1,1,5,19.192263051560555,1
Child_3_6y,Disturbance,C_med,1,2,3.5,19.192263051560555,1
Child_3_6y,Disturbance,C_med,1,2,5,19.192263051560555,1
Child_3_6y,Disturbance,C_high,0.25,0.5,3.5,9.075495460708545,1
